Name,University_Name_Clean,State,State_Code,Type,Degree_Length,Room_And_Board,In_State_Tuition,In_State_Total,Out_Of_State_Tuition,Out_Of_State_Total
Cabrini University,Cabrini University,Pennsylvania,PA,Private,4 Year,12266,31920,44186,31920,44186
Cairn University,Cairn University,Pennsylvania,PA,Private,4 Year,10294,27279,37573,27279,37573
Caldwell Community College and Technical Institute,Caldwell Community College and Technical Institute,North Carolina,NC,Public,2 Year,,2356,2356,8116,8116
Caldwell University,Caldwell University,New Jersey,NJ,Private,4 Year,12025,34715,46740,34715,46740
Calhoun Community College,Calhoun Community College,Alabama,AL,Public,2 Year,,4840,4840,8690,8690
California Baptist University,California Baptist University,California,CA,Private,4 Year,12160,33478,45638,33478,45638
California Christian College,California Christian College,California,CA,Private,4 Year,4950,9570,14520,9570,14520
California Coast University,California Coast University,California,CA,For Profit,4 Year,,4500,4500,4500,4500
California College of the Arts,California College Arts,California,CA,Private,4 Year,10136,49138,59274,49138,59274
California Institute of Integral Studies,California Institute Integral Studies,California,CA,Private,4 Year,,20230,20230,20230,20230
California Institute of Technology,California Institute Technology,California,CA,Private,4 Year,15525,52362,67887,52362,67887
California Institute of the Arts,California Institute Arts,California,CA,Private,4 Year,12069,49276,61345,49276,61345
California Lutheran University,California Lutheran University,California,CA,Private,4 Year,13779,42693,56472,42693,56472
California Maritime Academy,California State University Maritime Academy,California,CA,Public,4 Year,12576,7135,19711,13273,25849
California Miramar University,California Miramar University,California,CA,Private,4 Year,,12180,12180,12180,12180
California Northstate University College of Health Sciences,California Northstate University College Health Sciences,California,CA,Private,4 Year,,32500,32500,32500,32500
California Polytechnic State University: San Luis Obispo,California Polytechnic State University San Luis Obispo,California,CA,Public,4 Year,13796,9816,23612,21696,35492
California State Polytechnic University: Pomona,California State Polytechnic University Pomona,California,CA,Public,4 Year,17358,7353,24711,19233,36591
California State University: Bakersfield,California State University Bakersfield,California,CA,Public,4 Year,13746,7147,20893,19027,32773
California State University: Channel Islands,California State University Channel Islands,California,CA,Public,4 Year,16954,6817,23771,18697,35651
California State University: Chico,California State University Chico,California,CA,Public,4 Year,12980,7618,20598,17122,30102
California State University: Dominguez Hills,California State University Dominguez Hills,California,CA,Public,4 Year,12540,6837,19377,18717,31257
California State University: East Bay,California State University East Bay,California,CA,Public,4 Year,13980,6834,20814,18714,32694
California State University: Fresno,California State University Fresno,California,CA,Public,4 Year,10587,6585,17172,18465,29052
California State University: Fullerton,California State University Fullerton,California,CA,Public,4 Year,15898,6870,22768,18750,34648
California State University: Long Beach,California State University Long Beach,California,CA,Public,4 Year,13312,6798,20110,18678,31990
California State University: Los Angeles,California State University Los Angeles,California,CA,Public,4 Year,13407,6639,20046,18519,31926
California State University: Monterey Bay,California State University Monterey Bay,California,CA,Public,4 Year,12234,7143,19377,19023,31257
California State University: Northridge,California State University Northridge,California,CA,Public,4 Year,11122,6888,18010,17622,28744
California State University: Sacramento,California State University Sacramento,California,CA,Public,4 Year,14396,7204,21600,19084,33480
California State University: San Bernardino,California State University San Bernardino,California,CA,Public,4 Year,12711,6656,19367,13064,25775
California State University: San Marcos,California State University San Marcos,California,CA,Public,4 Year,13227,7648,20875,19166,32393
California State University: Stanislaus,California State University Stanislaus,California,CA,Public,4 Year,10542,7076,17618,20290,30832
California University of Management and Sciences,California University Management and Sciences,California,CA,Private,4 Year,,10410,10410,10410,10410
California University of Pennsylvania,California University Pennsylvania,Pennsylvania,PA,Public,4 Year,10186,11108,21294,14966,25152
Calumet College of St. Joseph,Calumet College St. Joseph,Indiana,IN,Private,4 Year,,19870,19870,19870,19870
Calvary University,Calvary University,Missouri,MO,Private,4 Year,5492,11164,16656,11164,16656
Calvin College,Calvin College,Michigan,MI,Private,4 Year,10200,34600,44800,34600,44800
Cambridge College,Cambridge College,Massachusetts,MA,Private,4 Year,,13040,13040,13040,13040
Camden County College,Camden County College,New Jersey,NJ,Public,2 Year,,4320,4320,4440,4440
Cameron University,Cameron University,Oklahoma,OK,Public,4 Year,5452,6450,11902,15870,21322
Campbell University,Campbell University,North Carolina,NC,Private,4 Year,11430,32500,43930,32500,43930
Campbellsville University,Campbellsville University,Kentucky,KY,Private,4 Year,8000,25400,33400,25400,33400
Canada College,Canada College,California,CA,Public,2 Year,,1440,1440,8670,8670
Canisius College,Canisius College,New York,NY,Private,4 Year,11300,28488,39788,28488,39788
Cankdeska Cikana Community College,Cankdeska Cikana Community College,North Dakota,ND,Public,2 Year,,4050,4050,4050,4050
Cape Cod Community College,Cape Cod Community College,Massachusetts,MA,Public,2 Year,,6330,6330,12510,12510
Cape Fear Community College,Cape Fear Community College,North Carolina,NC,Public,2 Year,,2590,2590,8350,8350
Capella University,Capella University,Minnesota,MN,For Profit,4 Year,,13788,13788,13788,13788
Capital Community College,Capital Community College,Connecticut,CT,Public,2 Year,,4404,4404,13172,13172
Capital University,Capital University,Ohio,OH,Private,4 Year,10842,35466,46308,35466,46308
Capitol Technology University,Capitol Technology University,Maryland,MD,Private,4 Year,5708,25428,31136,25428,31136
Cardinal Stritch University,Cardinal Stritch University,Wisconsin,WI,Private,4 Year,8440,29998,38438,29998,38438
Career College of Northern Nevada,Career College Northern Nevada,Nevada,NV,For Profit,2 Year,,11250,11250,11250,11250
Careers Unlimited,Careers Unlimited,Utah,UT,For Profit,2 Year,,22841,22841,22841,22841
Carl Albert State College,Carl Albert State College,Oklahoma,OK,Public,2 Year,4000,3818,7818,7943,11943
Carl Sandburg College,Carl Sandburg College,Illinois,IL,Public,2 Year,,5000,5000,8330,8330
Carleton College,Carleton College,Minnesota,MN,Private,4 Year,14085,54759,68844,54759,68844
Carlos Albizu University,Carlos Albizu University,Florida,FL,Private,4 Year,,10234,10234,10234,10234
Carlow University,Carlow University,Pennsylvania,PA,Private,4 Year,11442,29454,40896,29454,40896
Carnegie Mellon University,Carnegie Mellon University,Pennsylvania,PA,Private,4 Year,14418,55465,69883,55465,69883
Carolina Christian College,Carolina Christian College,North Carolina,NC,Private,4 Year,,8300,8300,8300,8300
Carroll College,Carroll College,Montana,MT,Private,4 Year,9880,35486,45366,35486,45366
Carroll Community College,Carroll Community College,Maryland,MD,Public,2 Year,,5160,5160,10448,10448
Carroll University,Carroll University,Wisconsin,WI,Private,4 Year,9484,31918,41402,31918,41402
Carson-Newman University,Carson Newman University,Tennessee,TN,Private,4 Year,8810,27900,36710,27900,36710
Carteret Community College,Carteret Community College,North Carolina,NC,Public,2 Year,,2372,2372,8132,8132
Carthage College,Carthage College,Wisconsin,WI,Private,4 Year,11990,43550,55540,43550,55540
Carver College,Carver College,Georgia,GA,Private,4 Year,6600,13475,20075,13475,20075
Cascadia College,Cascadia College,Washington,WA,Public,2 Year,,4447,4447,9878,9878
Case Western Reserve University,Case Western Reserve University,Ohio,OH,Private,4 Year,15190,49042,64232,49042,64232
Casper College,Casper College,Wyoming,WY,Public,2 Year,6880,3072,9952,7584,14464
Castleton University,Castleton University,Vermont,VT,Public,4 Year,10598,12314,22912,28322,38920
Catawba College,Catawba College,North Carolina,NC,Private,4 Year,10488,30520,41008,30520,41008
Catawba Valley Community College,Catawba Valley Community College,North Carolina,NC,Public,2 Year,,2400,2400,8160,8160
Catholic Distance University,Catholic Distance University,West Virginia,WV,Private,4 Year,,10050,10050,10050,10050
Cayuga Community College,Cayuga Community College,New York,NY,Public,2 Year,,5290,5290,9948,9948
Cazenovia College,Cazenovia College,New York,NY,Private,4 Year,14596,34630,49226,34630,49226
Cecil College,Cecil College,Maryland,MD,Public,2 Year,,4305,4305,9015,9015
Cedar Crest College,Cedar Crest College,Pennsylvania,PA,Private,4 Year,11544,39216,50760,39216,50760
Cedar Valley College,Cedar Valley College,Texas,TX,Public,2 Year,,1770,1770,5220,5220
Cedarville University,Cedarville University,Ohio,OH,Private,4 Year,7360,30270,37630,30270,37630
Centenary College of Louisiana,Centenary College Louisiana,Louisiana,LA,Private,4 Year,13400,36580,49980,36580,49980
Centenary University,Centenary University,New Jersey,NJ,Private,4 Year,11444,32998,44442,32998,44442
Central Alabama Community College,Central Alabama Community College,Alabama,AL,Public,2 Year,,4740,4740,8610,8610
Central Arizona College,Central Arizona College,Arizona,AZ,Public,2 Year,7700,2580,10280,11100,18800
Central Baptist College,Central Baptist College,Arkansas,AR,Private,4 Year,7500,16200,23700,16200,23700
Central Carolina Community College,Central Carolina Community College,North Carolina,NC,Public,2 Year,,2392,2392,8152,8152
Central Carolina Technical College,Central Carolina Technical College,South Carolina,SC,Public,2 Year,,5760,5760,9630,9630
Central Christian College of Kansas,Central Christian College Kansas,Kansas,KS,Private,4 Year,8286,26674,34960,26674,34960
Central College,Central College,Iowa,IA,Private,4 Year,10280,37295,47575,37295,47575
Central Community College,Central Community College,Nebraska,NE,Public,2 Year,7106,3000,10106,4320,11426
Central Connecticut State University,Central Connecticut State University,Connecticut,CT,Public,4 Year,12176,10616,22792,21856,34032
Central Georgia Technical College,Central Georgia Technical College,Georgia,GA,Public,2 Year,,3308,3308,5978,5978
Central Lakes College,Central Lakes College,Minnesota,MN,Public,2 Year,4000,5492,9492,5492,9492
Central Maine Community College,Central Maine Community College,Maine,ME,Public,2 Year,9340,3720,13060,6540,15880
Central Methodist University,Central Methodist University,Missouri,MO,Private,4 Year,7940,24420,32360,24420,32360
Central Michigan University,Central Michigan University,Michigan,MI,Public,4 Year,10076,12960,23036,12960,23036
Central New Mexico Community College,Central New Mexico Community College,New Mexico,NM,Public,2 Year,,1626,1626,7338,7338
Central Ohio Technical College,Central Ohio Technical College,Ohio,OH,Public,2 Year,,4536,4536,7296,7296
Central Oregon Community College,Central Oregon Community College,Oregon,OR,Public,2 Year,10770,4938,15708,13218,23988
Central Penn College,Central Penn College,Pennsylvania,PA,For Profit,4 Year,8094,18714,26808,18714,26808
Central Piedmont Community College,Central Piedmont Community College,North Carolina,NC,Public,2 Year,,2792,2792,8936,8936
Central State University,Central State University,Ohio,OH,Public,4 Year,10232,6346,16578,8346,18578
Central Texas College,Central Texas College,Texas,TX,Public,2 Year,5040,2700,7740,7050,12090
Central Virginia Community College,Central Virginia Community College,Virginia,VA,Public,2 Year,,4838,4838,10766,10766
Central Washington University,Central Washington University,Washington,WA,Public,4 Year,11115,8072,19187,23053,34168
Central Wyoming College,Central Wyoming College,Wyoming,WY,Public,2 Year,6681,3120,9801,7632,14313
Central Yeshiva Tomchei Tmimim-Lubavitch,Central Yeshiva Tomchei Tmimim Lubavitch,New York,NY,Private,4 Year,3500,7700,11200,7700,11200
Centralia College,Centralia College,Washington,WA,Public,2 Year,,4438,4438,4873,4873
Centre College,Centre College,Kentucky,KY,Private,4 Year,10480,41700,52180,41700,52180
Century College,Century College,Minnesota,MN,Public,2 Year,,5417,5417,5417,5417
Cerritos College,Cerritos College,California,CA,Public,2 Year,,1438,1438,9688,9688
Cerro Coso Community College,Cerro Coso Community College,California,CA,Public,2 Year,,1382,1382,7802,7802
Chabot College,Chabot College,California,CA,Public,2 Year,,1414,1414,9664,9664
Chadron State College,Chadron State College,Nebraska,NE,Public,4 Year,7380,7196,14576,7196,14576
Chaffey College,Chaffey College,California,CA,Public,2 Year,,1414,1414,9454,9454
Chamberlain College Of Nursing: Tinley Park,Chamberlain College Nursing Tinley Park,Illinois,IL,For Profit,4 Year,,20850,20850,20850,20850
Chaminade University of Honolulu,Chaminade University Honolulu,Hawaii,HI,Private,4 Year,13630,25374,39004,25374,39004
Champlain College,Champlain College,Vermont,VT,Private,4 Year,15354,41010,56364,41010,56364
Chandler-Gilbert Community College,Chandler Gilbert Community College,Arizona,AZ,Public,2 Year,,2580,2580,9810,9810
Chapman University,Chapman University,California,CA,Private,4 Year,15828,52724,68552,52724,68552
Charles R Drew University of Medicine and Science,Charles R Drew University Medicine and Science,California,CA,Private,4 Year,,17440,17440,17440,17440
Charleston Southern University,Charleston Southern University,South Carolina,SC,Private,4 Year,10200,25500,35700,25500,35700
Charlotte Christian College and Theological Seminary,Charlotte Christian College and Theological Seminary,North Carolina,NC,Private,4 Year,,10688,10688,10688,10688
Charter Oak State College,Charter Oak State College,Connecticut,CT,Public,4 Year,,10161,10161,13101,13101
Chatfield College,Chatfield College,Ohio,OH,Private,2 Year,,12184,12184,12184,12184
Chatham University,Chatham University,Pennsylvania,PA,Private,4 Year,12090,37611,49701,37611,49701
Chattahoochee Technical College,Chattahoochee Technical College,Georgia,GA,Public,2 Year,,3350,3350,6020,6020
Chattahoochee Valley Community College,Chattahoochee Valley Community College,Alabama,AL,Public,2 Year,,4560,4560,8670,8670
Chattanooga State Community College,Chattanooga State Community College,Tennessee,TN,Public,2 Year,,4778,4778,17684,17684
Chemeketa Community College,Chemeketa Community College,Oregon,OR,Public,2 Year,,4725,4725,12960,12960
Chesapeake College,Chesapeake College,Maryland,MD,Public,2 Year,,4760,4760,9110,9110
